Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL454770,,0,299.37,0,2.33,38-I,CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1ccc(O)cc1C,IC50,'=',4,nM,8.4,,,UO_0000065,28.05,0.52,6.07,13.61,FALSE,CHEMBL963839,Inhibition of norepinephrine uptake at human NET transfected in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1152169,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL41,FLUOXETINE,4,309.33,0,4.44,1,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',563,nM,6.25,,,UO_0000065,20.2,0.39,1.81,29.4,TRUE,CHEMBL986142,Inhibition of norepinephrine uptake at human NET expressed in MDCK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MDCK,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1144192,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3308370,
CHEMBL446809,,0,362.39,0,4.08,14e,CNCC[C@H](c1cc(F)cc(F)c1)N1C(=O)C(C)(C)c2cccc(F)c21,IC50,'=',6,nM,8.22,,,UO_0000065,22.69,0.43,4.14,25.42,FALSE,CHEMBL986142,Inhibition of norepinephrine uptake at human NET expressed in MDCK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MDCK,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1144192,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3308370,
CHEMBL1200604,TROPICAMIDE,4,284.36,0,2.21,TROPICAMIDE,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL416409,,0,471.59,1,7.53,13,Fc1ccc(C(OCCC2CCN(Cc3ccc4ccccc4c3)CC2)c2ccc(F)cc2)cc1,IC50,'=',93,nM,7.03,,,UO_0000065,,,,,FALSE,CHEMBL750496,Compound was tested for the inhibition of norepinephrine (NE) reuptake,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1136002,1,Scientific Literature,J. Med. Chem.,2002,None,
CHEMBL4074999,,0,452.61,0,4.06,2b,c1ccc(CN2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,'=',521,nM,6.28,,,UO_0000065,13.88,0.25,2.22,12.55,FALSE,CHEMBL4007285,Inhibition of [3H]-5-norepinephrine reuptake in human NET expressed in HEK293 cells by microbeta liquid scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4004887,1,Scientific Literature,Bioorg Med Chem,2017,CHEMBL3307715,
CHEMBL232104,,0,563.68,1,2.79,PB-93,COC(=O)N1CCC(CN(C2Cc3cc(C#N)ccc3N(Cc3cncn3C)C2)S(=O)(=O)c2ccccn2)CC1,Inhibition,,,,,,Not Active,,,,,,FALSE,CHEMBL1022887,Inhibition of NET at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1138529,1,Scientific Literature,Antimicrob. Agents Chemother.,2007,None,
CHEMBL1224563,,0,322.38,0,3.71,(+)-32,O=C(c1cc(F)c2[nH]ccc2c1)C1(Cc2ccccc2)CCNC1,Ki,'=',10,nM,8,,,UO_0000065,24.82,0.46,4.29,17.82,FALSE,CHEMBL1225486,Inhibition of [3H]norepinephrine reuptake at norepinephrine transporter,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1221322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL185,FLUOROURACIL,4,130.08,0,-0.8,5-FU,O=c1[nH]cc(F)c(=O)[nH]1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL3612834,,0,465.44,1,5.68,7k,O=C(NCCCN1CCC(Cc2ccccc2)CC1)c1ccc2cc(Br)ccc2c1,IC50,'=',885,nM,6.05,,,UO_0000065,13.01,0.28,0.37,18.72,FALSE,CHEMBL3614498,Inhibition of human NET expressed in HEK293 cells assessed as reduction of serotonin reuptake using [3H]-NET after 15 mins by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3611988,1,Scientific Literature,Bioorg. Med. Chem.,2015,CHEMBL3307715,
CHEMBL167911,DICHLORVOS,0,220.98,0,2.68,DICHLORVOS,COP(=O)(OC)OC=C(Cl)Cl,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL295467,NISOXETINE,0,271.36,0,3.42,nisoxetine,CNCCC(Oc1ccccc1OC)c1ccccc1,Ratio,'=',0.05,,,,,,,,,,FALSE,CHEMBL756261,Ratio of binding affinity between human norepinephrine transporter (NET) and human serotonin transporter (SERT),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1136726,1,Scientific Literature,J. Med. Chem.,2003,None,
CHEMBL1231107,CYROMAZINE,0,166.19,0,-0.39,CYROMAZINE,Nc1nc(N)nc(NC2CC2)n1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL841,LOPERAMIDE,4,477.05,1,5.09,LOPERAMIDE,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL407,FLUMAZENIL,4,303.29,0,1.77,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL1201207,BETAMETHASONE PHOSPHORIC ACID,4,472.45,0,2.01,BETAMETHASONE PHOSPHATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL1760,TERBUTALINE,4,225.29,0,1.52,TERBUTALINE,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL417,EPIRUBICIN,4,543.53,3,0,EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL117405,,0,248.33,0,1.91,(S)-(-)-PINDOLOL,CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL415244,,0,321.42,0,4.58,20,CNCCC(Oc1cccc2ccccc12)c1ccc(OC)cc1,Ki,'=',74,nM,7.13,,,UO_0000065,22.19,0.41,2.55,23.39,FALSE,CHEMBL751150,Inhibition of [3H]nisoxetine binding to norepinephrine (NE) transporter,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1136501,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,None,
CHEMBL599,MELOXICAM,4,351.41,0,1.95,MELOXICAM,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL451,CHLORDIAZEPOXIDE,4,299.76,0,2.95,CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL27577,SALICYLAMIDE,0,137.14,0,0.49,SALICYLAMIDE,NC(=O)c1ccccc1O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL44657,ETOPOSIDE,4,588.56,2,1.34,etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL27769,STANOLONE,2,290.45,0,3.96,STANOLONE,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL1172,DESLORATADINE,4,310.83,0,4.02,DESLORATADINE,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,Ki,'=',1107,nM,5.96,,,UO_0000065,19.16,0.37,1.94,23.9,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL506247,TANNIC ACID,4,1701.21,None,None,TANNIC ACID,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL255303,,0,302.44,0,2.99,10,CCN(CC)C(=O)[C@@]1(c2ccc3sccc3c2)C[C@H]1CN,IC50,'=',47,nM,7.33,,,UO_0000065,24.23,0.48,4.34,15.82,FALSE,CHEMBL930494,Inhibition of human NET,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1143081,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,None,
CHEMBL1940404,,0,363.86,0,4.23,3,OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,Ki,'=',3959,nM,5.4,,,UO_0000065,14.85,0.3,1.17,16.52,FALSE,CHEMBL3366167,Displacement of [3H]Nisoxetine from human Norepinephrine transporter by liquid scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352364,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,None,
CHEMBL803,CYTARABINE,4,243.22,0,-2.56,CYTARABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL450895,NYSTATIN,4,926.11,3,0.94,NYSTATIN,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL455447,,0,267.37,0,3.51,2,CNC[C@@H]1Cc2ccccc2[C@@H]1Oc1ccccc1C,IC50,'=',7,nM,8.15,,,UO_0000065,30.5,0.56,4.64,38.36,FALSE,CHEMBL963839,Inhibition of norepinephrine uptake at human NET transfected in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1152169,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL2029821,,0,377.42,0,4.82,48,CCCCn1ccc(-c2ccc(Oc3ccnc(C)c3)c(F)c2)c(C#N)c1=O,Activity,'>',50,%,,,,UO_0000187,,,,,FALSE,CHEMBL2033103,Binding affinity to norepinephrine transporter at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL2029212,1,Scientific Literature,J. Med. Chem.,2012,None,
CHEMBL2164371,,0,434.41,0,3.58,"26B, enantiomer 2",O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1C1CCOCC1,Inhibition,,,,,,Not Active,,,,,,FALSE,CHEMBL2168239,Inhibition of norepinephrine transporter at 10 uM by radioligand binding assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL2163233,1,Scientific Literature,J. Med. Chem.,2012,None,
CHEMBL1201066,VENLAFAXINE HYDROCHLORIDE,4,313.87,0,3.04,Venlafaxine HCl,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,IC50,'=',2550,nM,5.59,,,UO_0000065,20.16,0.38,2.55,17.11,TRUE,CHEMBL4046312,Inhibition of re-uptake of [3H]-NE at human NET expressed in HEK293 cells by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4043179,1,Scientific Literature,Bioorg Med Chem,2017,CHEMBL3307715,
CHEMBL3309702,,0,322.24,0,4.72,2ac,Clc1ccc(C(CC2CNC2)Oc2ccccc2)cc1Cl,Ratio IC50,'>',7,,,,,,,,,,FALSE,CHEMBL3362222,Ratio of venlafaxine IC50 to compound IC50 for norepinephrine reuptake at human NET expressed in HEK293 cells at 0.1 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,CHEMBL3307715,
CHEMBL3310635,,0,358.21,1,5,2bo,Fc1ccc(C(CC2CNC2)Oc2ccc(Cl)c(Cl)c2)cc1F,Inhibition,'=',7,%,,,,UO_0000187,,,,,FALSE,CHEMBL3362226,Inhibition of norepinephrine reuptake at human NET expressed in HEK293 cells at 0.1 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,CHEMBL3307715,
CHEMBL3310629,,0,307.31,0,3.83,2bh,Fc1ccc(OC(CC2CNC2)c2ccc(F)c(F)c2)cc1,Inhibition,'=',8,%,,,,UO_0000187,,,,,FALSE,CHEMBL3362226,Inhibition of norepinephrine reuptake at human NET expressed in HEK293 cells at 0.1 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,CHEMBL3307715,
CHEMBL4286186,,0,429.39,1,6.13,34,Clc1ccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)c(Cl)c1,Inhibition,'=',67.7,%,,,,UO_0000187,,,,,FALSE,CHEMBL4276209,Inhibition of [3H]norepinephrine uptake at human NET expressed in HEK293 cells at 10 uM after 15 to 20 mins by microbeta scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4270660,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL4288944,,0,401.34,1,5.35,8,Clc1ccc(N2CCN(CCOc3ccc4ccccc4c3)CC2)c(Cl)c1,Inhibition,'=',47.3,%,,,,UO_0000187,,,,,FALSE,CHEMBL4276209,Inhibition of [3H]norepinephrine uptake at human NET expressed in HEK293 cells at 10 uM after 15 to 20 mins by microbeta scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4270660,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL4073137,,0,470.62,0,3.44,19a,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2ccccn2)CC1,EC50,'=',339,nM,6.47,,,UO_0000065,13.75,0.25,3.03,9.42,FALSE,CHEMBL4004030,Inhibition of NET (unknown origin) expressed in HEK293 cells assessed as reduction in norepinephrine reuptake,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4002615,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,
CHEMBL711,PHENINDIONE,4,222.24,0,2.85,PHENINDIONE,O=C1c2ccccc2C(=O)C1c1ccccc1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL40,PHENOBARBITAL,4,232.24,0,0.7,PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL54,HALOPERIDOL,4,375.87,0,4.43,haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Ki,'=',5500,nM,5.26,,,UO_0000065,13.99,0.28,0.83,12.97,FALSE,CHEMBL3366167,Displacement of [3H]Nisoxetine from human Norepinephrine transporter by liquid scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352364,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,None,
CHEMBL595,PIOGLITAZONE,4,356.45,0,3.16,PIOGLITAZONE,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
